record,id,st_fips,cnty_fips,tract_fips,name,pop,emp,unemp,rate
1,49001100100,49,1,100100,"Census Tract 1001, Beaver County, UT",3815,1538,96,5.9
2,49001100200,49,1,100200,"Census Tract 1002, Beaver County, UT",2564,1433,55,3.7
3,49003960100,49,3,960100,"Census Tract 9601, Box Elder County, UT",3185,1310,35,2.6
4,49003960200,49,3,960200,"Census Tract 9602, Box Elder County, UT",7307,3459,122,3.4
5,49003960300,49,3,960300,"Census Tract 9603, Box Elder County, UT",8250,3571,173,4.6
6,49003960400,49,3,960400,"Census Tract 9604, Box Elder County, UT",5212,2410,63,2.5
7,49003960500,49,3,960500,"Census Tract 9605, Box Elder County, UT",5474,2546,50,1.9
8,49003960601,49,3,960601,"Census Tract 9606.01, Box Elder County, UT",3855,1489,88,5.6
9,49003960602,49,3,960602,"Census Tract 9606.02, Box Elder County, UT",2407,1198,34,2.8
10,49003960701,49,3,960701,"Census Tract 9607.01, Box Elder County, UT",4755,2407,106,4.2
11,49003960702,49,3,960702,"Census Tract 9607.02, Box Elder County, UT",2490,1222,57,4.5
12,49003960801,49,3,960801,"Census Tract 9608.01, Box Elder County, UT",4335,2302,90,3.8
13,49003960802,49,3,960802,"Census Tract 9608.02, Box Elder County, UT",4518,2173,27,1.2
14,49005000101,49,5,101,"Census Tract 1.01, Cache County, UT",4861,2345,68,2.8
15,49005000102,49,5,102,"Census Tract 1.02, Cache County, UT",1673,829,22,2.6
16,49005000201,49,5,201,"Census Tract 2.01, Cache County, UT",3358,1703,58,3.3
17,49005000202,49,5,202,"Census Tract 2.02, Cache County, UT",7422,3517,96,2.7
18,49005000300,49,5,300,"Census Tract 3, Cache County, UT",8249,3105,77,2.4
19,49005000401,49,5,401,"Census Tract 4.01, Cache County, UT",3669,1840,73,3.8
20,49005000402,49,5,402,"Census Tract 4.02, Cache County, UT",3373,1636,46,2.7
21,49005000403,49,5,403,"Census Tract 4.03, Cache County, UT",6270,3112,60,1.9
22,49005000501,49,5,501,"Census Tract 5.01, Cache County, UT",5524,3002,92,3
23,49005000502,49,5,502,"Census Tract 5.02, Cache County, UT",5717,3853,52,1.3
24,49005000600,49,5,600,"Census Tract 6, Cache County, UT",7681,3804,183,4.6
25,49005000701,49,5,701,"Census Tract 7.01, Cache County, UT",4965,2449,83,3.3
26,49005000702,49,5,702,"Census Tract 7.02, Cache County, UT",3031,1508,148,8.9
27,49005000800,49,5,800,"Census Tract 8, Cache County, UT",5276,3512,111,3.1
28,49005000900,49,5,900,"Census Tract 9, Cache County, UT",3702,2081,71,3.3
29,49005001001,49,5,1001,"Census Tract 10.01, Cache County, UT",3085,1484,45,2.9
30,49005001002,49,5,1002,"Census Tract 10.02, Cache County, UT",4798,2732,82,2.9
31,49005001101,49,5,1101,"Census Tract 11.01, Cache County, UT",5896,2653,44,1.6
32,49005001102,49,5,1102,"Census Tract 11.02, Cache County, UT",4644,2327,34,1.4
33,49005001201,49,5,1201,"Census Tract 12.01, Cache County, UT",5063,2459,46,1.8
34,49005001202,49,5,1202,"Census Tract 12.02, Cache County, UT",5954,2797,74,2.6
35,49005001300,49,5,1300,"Census Tract 13, Cache County, UT",6842,3079,56,1.8
36,49005001401,49,5,1401,"Census Tract 14.01, Cache County, UT",4603,1863,69,3.6
37,49005001402,49,5,1402,"Census Tract 14.02, Cache County, UT",4018,1891,40,2.1
38,49005001500,49,5,1500,"Census Tract 15, Cache County, UT",2159,1013,65,6
39,49005980100,49,5,980100,"Census Tract 9801, Cache County, UT",108,57,0,0
40,49007000100,49,7,100,"Census Tract 1, Carbon County, UT",3595,1591,77,4.6
41,49007000200,49,7,200,"Census Tract 2, Carbon County, UT",4213,1779,122,6.4
42,49007000300,49,7,300,"Census Tract 3, Carbon County, UT",4433,1549,135,8
43,49007000500,49,7,500,"Census Tract 5, Carbon County, UT",3952,1474,51,3.3
44,49007000600,49,7,600,"Census Tract 6, Carbon County, UT",4404,1391,62,4.3
45,49009960100,49,9,960100,"Census Tract 9601, Daggett County, UT",1061,420,19,4.3
46,49011125102,49,11,125102,"Census Tract 1251.02, Davis County, UT",4494,2402,76,3.1
47,49011125103,49,11,125103,"Census Tract 1251.03, Davis County, UT",4730,2485,87,3.4
48,49011125104,49,11,125104,"Census Tract 1251.04, Davis County, UT",6254,2999,150,4.8
49,49011125200,49,11,125200,"Census Tract 1252, Davis County, UT",3803,713,51,6.7
50,49011125301,49,11,125301,"Census Tract 1253.01, Davis County, UT",5531,2629,156,5.6
51,49011125303,49,11,125303,"Census Tract 1253.03, Davis County, UT",11204,5494,178,3.1
52,49011125304,49,11,125304,"Census Tract 1253.04, Davis County, UT",5108,2948,116,3.8
53,49011125305,49,11,125305,"Census Tract 1253.05, Davis County, UT",6828,3938,136,3.3
54,49011125401,49,11,125401,"Census Tract 1254.01, Davis County, UT",12561,5949,27,0.5
55,49011125403,49,11,125403,"Census Tract 1254.03, Davis County, UT",12119,5740,153,2.6
56,49011125405,49,11,125405,"Census Tract 1254.05, Davis County, UT",10456,4796,126,2.6
57,49011125406,49,11,125406,"Census Tract 1254.06, Davis County, UT",8028,3795,121,3.1
58,49011125501,49,11,125501,"Census Tract 1255.01, Davis County, UT",6267,2867,73,2.5
59,49011125502,49,11,125502,"Census Tract 1255.02, Davis County, UT",6218,3040,97,3.1
60,49011125503,49,11,125503,"Census Tract 1255.03, Davis County, UT",5081,2551,101,3.8
61,49011125600,49,11,125600,"Census Tract 1256, Davis County, UT",1364,113,0,0
62,49011125701,49,11,125701,"Census Tract 1257.01, Davis County, UT",3936,1580,44,2.7
63,49011125702,49,11,125702,"Census Tract 1257.02, Davis County, UT",4232,1832,151,7.6
64,49011125801,49,11,125801,"Census Tract 1258.01, Davis County, UT",7475,3578,125,3.4
65,49011125804,49,11,125804,"Census Tract 1258.04, Davis County, UT",7028,3629,141,3.7
66,49011125805,49,11,125805,"Census Tract 1258.05, Davis County, UT",6586,3286,70,2.1
67,49011125807,49,11,125807,"Census Tract 1258.07, Davis County, UT",3267,1688,60,3.4
68,49011125808,49,11,125808,"Census Tract 1258.08, Davis County, UT",6003,3644,220,5.7
69,49011125905,49,11,125905,"Census Tract 1259.05, Davis County, UT",6992,3144,184,5.5
70,49011125906,49,11,125906,"Census Tract 1259.06, Davis County, UT",7619,3416,44,1.3
71,49011125907,49,11,125907,"Census Tract 1259.07, Davis County, UT",2339,1062,30,2.7
72,49011125908,49,11,125908,"Census Tract 1259.08, Davis County, UT",5431,2540,94,3.6
73,49011126001,49,11,126001,"Census Tract 1260.01, Davis County, UT",5214,2625,144,5.2
74,49011126002,49,11,126002,"Census Tract 1260.02, Davis County, UT",5430,2948,47,1.6
75,49011126101,49,11,126101,"Census Tract 1261.01, Davis County, UT",7167,2720,45,1.6
76,49011126104,49,11,126104,"Census Tract 1261.04, Davis County, UT",11811,5630,126,2.2
77,49011126105,49,11,126105,"Census Tract 1261.05, Davis County, UT",7721,3664,150,3.9
78,49011126202,49,11,126202,"Census Tract 1262.02, Davis County, UT",9470,5212,80,1.5
79,49011126203,49,11,126203,"Census Tract 1262.03, Davis County, UT",4404,2445,55,2.2
80,49011126204,49,11,126204,"Census Tract 1262.04, Davis County, UT",4787,2617,80,3
81,49011126303,49,11,126303,"Census Tract 1263.03, Davis County, UT",4991,2260,17,0.7
82,49011126304,49,11,126304,"Census Tract 1263.04, Davis County, UT",6805,3206,42,1.3
83,49011126305,49,11,126305,"Census Tract 1263.05, Davis County, UT",2364,1034,48,4.4
84,49011126306,49,11,126306,"Census Tract 1263.06, Davis County, UT",7421,3858,90,2.3
85,49011126402,49,11,126402,"Census Tract 1264.02, Davis County, UT",3560,1543,72,4.5
86,49011126404,49,11,126404,"Census Tract 1264.04, Davis County, UT",6628,3458,48,1.4
87,49011126405,49,11,126405,"Census Tract 1264.05, Davis County, UT",4304,1834,48,2.6
88,49011126406,49,11,126406,"Census Tract 1264.06, Davis County, UT",4507,2213,78,3.4
89,49011126500,49,11,126500,"Census Tract 1265, Davis County, UT",7052,3015,88,2.8
90,49011126600,49,11,126600,"Census Tract 1266, Davis County, UT",5814,2432,61,2.4
91,49011126700,49,11,126700,"Census Tract 1267, Davis County, UT",4310,2184,66,2.9
92,49011126801,49,11,126801,"Census Tract 1268.01, Davis County, UT",3516,1379,25,1.8
93,49011126802,49,11,126802,"Census Tract 1268.02, Davis County, UT",5330,1979,48,2.4
94,49011126901,49,11,126901,"Census Tract 1269.01, Davis County, UT",6324,3170,91,2.8
95,49011126902,49,11,126902,"Census Tract 1269.02, Davis County, UT",6655,3495,140,3.9
96,49011127002,49,11,127002,"Census Tract 1270.02, Davis County, UT",7222,4210,272,6.1
97,49011127003,49,11,127003,"Census Tract 1270.03, Davis County, UT",5664,3912,84,2.1
98,49011127004,49,11,127004,"Census Tract 1270.04, Davis County, UT",8817,4595,120,2.5
99,49011127100,49,11,127100,"Census Tract 1271, Davis County, UT",7943,3741,103,2.7
100,49013940300,49,13,940300,"Census Tract 9403, Duchesne County, UT",4120,1477,243,14.1
101,49013940500,49,13,940500,"Census Tract 9405, Duchesne County, UT",8736,3367,205,5.7
102,49013940600,49,13,940600,"Census Tract 9406, Duchesne County, UT",7831,2488,142,5.4
103,49015976200,49,15,976200,"Census Tract 9762, Emery County, UT",3904,1456,78,5.1
104,49015976300,49,15,976300,"Census Tract 9763, Emery County, UT",3027,1253,83,6.2
105,49015976500,49,15,976500,"Census Tract 9765, Emery County, UT",3354,1304,75,5.4
106,49017000300,49,17,300,"Census Tract 3, Garfield County, UT",2324,1146,112,8.9
107,49017000400,49,17,400,"Census Tract 4, Garfield County, UT",2757,1504,115,7.1
108,49019000200,49,19,200,"Census Tract 2, Grand County, UT",4724,2730,289,9.6
109,49019000300,49,19,300,"Census Tract 3, Grand County, UT",5162,2756,46,1.6
110,49021110100,49,21,110100,"Census Tract 1101, Iron County, UT",3972,1765,98,5.3
111,49021110200,49,21,110200,"Census Tract 1102, Iron County, UT",8124,3323,250,7
112,49021110300,49,21,110300,"Census Tract 1103, Iron County, UT",3611,1491,35,2.3
113,49021110400,49,21,110400,"Census Tract 1104, Iron County, UT",5110,2139,203,8.7
114,49021110500,49,21,110500,"Census Tract 1105, Iron County, UT",9795,4600,154,3.2
115,49021110600,49,21,110600,"Census Tract 1106, Iron County, UT",6366,3137,68,2.1
116,49021110701,49,21,110701,"Census Tract 1107.01, Iron County, UT",7043,3065,120,3.8
117,49021110702,49,21,110702,"Census Tract 1107.02, Iron County, UT",4469,1942,26,1.3
118,49023010100,49,23,10100,"Census Tract 101, Juab County, UT",5470,2702,85,3
119,49023010200,49,23,10200,"Census Tract 102, Juab County, UT",4727,2352,89,3.6
120,49025130100,49,25,130100,"Census Tract 1301, Kane County, UT",2373,1062,21,1.9
121,49025130200,49,25,130200,"Census Tract 1302, Kane County, UT",4995,2486,103,4
122,49027974100,49,27,974100,"Census Tract 9741, Millard County, UT",4961,2453,78,3.1
123,49027974200,49,27,974200,"Census Tract 9742, Millard County, UT",3008,1393,39,2.7
124,49027974300,49,27,974300,"Census Tract 9743, Millard County, UT",4599,2393,99,4
125,49029970100,49,29,970100,"Census Tract 9701, Morgan County, UT",9244,4532,137,2.9
126,49029970200,49,29,970200,"Census Tract 9702, Morgan County, UT",1623,643,6,0.9
127,49031960100,49,31,960100,"Census Tract 9601, Piute County, UT",1591,437,25,5.4
128,49033950100,49,33,950100,"Census Tract 9501, Rich County, UT",2331,1045,39,3.6
129,49035100100,49,35,100100,"Census Tract 1001, Salt Lake County, UT",1707,974,20,2
130,49035100200,49,35,100200,"Census Tract 1002, Salt Lake County, UT",1446,869,34,3.8
131,49035100306,49,35,100306,"Census Tract 1003.06, Salt Lake County, UT",5500,2624,115,4.2
132,49035100307,49,35,100307,"Census Tract 1003.07, Salt Lake County, UT",5542,2389,112,4.5
133,49035100308,49,35,100308,"Census Tract 1003.08, Salt Lake County, UT",4492,1885,51,2.6
134,49035100500,49,35,100500,"Census Tract 1005, Salt Lake County, UT",6873,3191,184,5.5
135,49035100600,49,35,100600,"Census Tract 1006, Salt Lake County, UT",6747,4204,282,6.3
136,49035100700,49,35,100700,"Census Tract 1007, Salt Lake County, UT",2974,1959,112,5.4
137,49035100800,49,35,100800,"Census Tract 1008, Salt Lake County, UT",2609,1418,44,3
138,49035101000,49,35,101000,"Census Tract 1010, Salt Lake County, UT",3229,1981,54,2.7
139,49035101101,49,35,101101,"Census Tract 1011.01, Salt Lake County, UT",2038,1559,25,1.6
140,49035101102,49,35,101102,"Census Tract 1011.02, Salt Lake County, UT",3800,2515,57,2.2
141,49035101200,49,35,101200,"Census Tract 1012, Salt Lake County, UT",3962,3193,61,1.9
142,49035101400,49,35,101400,"Census Tract 1014, Salt Lake County, UT",5166,2180,123,5.3
143,49035101500,49,35,101500,"Census Tract 1015, Salt Lake County, UT",3582,2245,52,2.3
144,49035101600,49,35,101600,"Census Tract 1016, Salt Lake County, UT",3768,3032,67,2.2
145,49035101700,49,35,101700,"Census Tract 1017, Salt Lake County, UT",3668,2739,48,1.7
146,49035101800,49,35,101800,"Census Tract 1018, Salt Lake County, UT",3459,2551,108,4.1
147,49035101900,49,35,101900,"Census Tract 1019, Salt Lake County, UT",2576,1530,88,5.4
148,49035102000,49,35,102000,"Census Tract 1020, Salt Lake County, UT",2694,1718,93,5.1
149,49035102100,49,35,102100,"Census Tract 1021, Salt Lake County, UT",1498,1014,79,7.2
150,49035102300,49,35,102300,"Census Tract 1023, Salt Lake County, UT",2922,1552,66,4.1
151,49035102500,49,35,102500,"Census Tract 1025, Salt Lake County, UT",3817,2216,131,5.6
152,49035102600,49,35,102600,"Census Tract 1026, Salt Lake County, UT",4580,1861,169,8.3
153,49035102701,49,35,102701,"Census Tract 1027.01, Salt Lake County, UT",5612,2551,83,3.2
154,49035102702,49,35,102702,"Census Tract 1027.02, Salt Lake County, UT",3931,1579,158,9.1
155,49035102801,49,35,102801,"Census Tract 1028.01, Salt Lake County, UT",6377,2913,228,7.3
156,49035102802,49,35,102802,"Census Tract 1028.02, Salt Lake County, UT",5212,2217,146,6.2
157,49035102900,49,35,102900,"Census Tract 1029, Salt Lake County, UT",4775,1666,233,12.3
158,49035103000,49,35,103000,"Census Tract 1030, Salt Lake County, UT",3296,1844,36,1.9
159,49035103100,49,35,103100,"Census Tract 1031, Salt Lake County, UT",4549,2658,152,5.4
160,49035103200,49,35,103200,"Census Tract 1032, Salt Lake County, UT",4845,2721,48,1.7
161,49035103300,49,35,103300,"Census Tract 1033, Salt Lake County, UT",4780,2935,113,3.7
162,49035103400,49,35,103400,"Census Tract 1034, Salt Lake County, UT",4522,2738,27,1
163,49035103500,49,35,103500,"Census Tract 1035, Salt Lake County, UT",4265,2759,78,2.7
164,49035103600,49,35,103600,"Census Tract 1036, Salt Lake County, UT",2956,1453,26,1.8
165,49035103700,49,35,103700,"Census Tract 1037, Salt Lake County, UT",2876,1742,5,0.3
166,49035103800,49,35,103800,"Census Tract 1038, Salt Lake County, UT",2456,1530,46,2.9
167,49035103900,49,35,103900,"Census Tract 1039, Salt Lake County, UT",4139,2452,63,2.5
168,49035104000,49,35,104000,"Census Tract 1040, Salt Lake County, UT",3452,1934,37,1.9
169,49035104100,49,35,104100,"Census Tract 1041, Salt Lake County, UT",3093,1361,21,1.5
170,49035104200,49,35,104200,"Census Tract 1042, Salt Lake County, UT",6831,3467,84,2.4
171,49035104300,49,35,104300,"Census Tract 1043, Salt Lake County, UT",3079,1951,23,1.2
172,49035104400,49,35,104400,"Census Tract 1044, Salt Lake County, UT",2130,903,18,2
173,49035104700,49,35,104700,"Census Tract 1047, Salt Lake County, UT",5369,3391,50,1.5
174,49035104800,49,35,104800,"Census Tract 1048, Salt Lake County, UT",5346,3271,36,1.1
175,49035104900,49,35,104900,"Census Tract 1049, Salt Lake County, UT",3546,2318,87,3.6
176,49035110102,49,35,110102,"Census Tract 1101.02, Salt Lake County, UT",4571,2575,38,1.5
177,49035110103,49,35,110103,"Census Tract 1101.03, Salt Lake County, UT",3720,2259,13,0.6
178,49035110104,49,35,110104,"Census Tract 1101.04, Salt Lake County, UT",5687,2801,29,1
179,49035110200,49,35,110200,"Census Tract 1102, Salt Lake County, UT",5510,3558,47,1.3
180,49035110300,49,35,110300,"Census Tract 1103, Salt Lake County, UT",5795,3406,56,1.6
181,49035110401,49,35,110401,"Census Tract 1104.01, Salt Lake County, UT",3847,1687,59,3.4
182,49035110402,49,35,110402,"Census Tract 1104.02, Salt Lake County, UT",3992,2152,10,0.5
183,49035110500,49,35,110500,"Census Tract 1105, Salt Lake County, UT",6944,3082,88,2.8
184,49035110600,49,35,110600,"Census Tract 1106, Salt Lake County, UT",5757,3104,52,1.6
185,49035110701,49,35,110701,"Census Tract 1107.01, Salt Lake County, UT",3842,2522,29,1.1
